Accession	ID/Symbol	# of abstracts	abstract list
MI0000443	hsa-mir-124-1	252	15685193;16549876;16699595;17403776;17679093;18042700;18188765;18451139;18461144;18577219;18577221;18607543;18619591;19036124;19427019;19502795;19536157;19561591;19703567;19843643;19883498;19901979;19944075;19956752;20308325;20523124;20534531;20579385;20599952;20665740;20726790;20795863;20930122;21062284;21112327;21131957;21221133;21294859;21307844;21318219;21365509;21544199;21551949;21672940;21695170;21753754;21802386;21813326;21818300;21914401;21957233;22024478;22085528;22153071;22178324;22253443;22333974;22336710;22343717;22430032;22441842;22450659;22471922;22541098;22558405;22588079;22653784;22696253;22701651;22819820;22828925;22846781;22885837;22895557;22918790;22929615;22940133;23049088;23069658;23077310;23109423;23135476;23161775;23172372;23176198;23250910;23303397;23313552;23315173;23321515;23332465;23334332;23345203;23374323;23382622;23382970;23451109;23548312;23553027;23595422;23624869;23636127;23680813;23691514;23754622;23761023;23785148;23792158;23816858;23817964;23853098;23860031;23864708;23867221;23936026;23940556;23946534;23979021;24018376;24035011;24068568;24122720;24135052;24166354;24180482;24184980;24211205;24223605;24257299;24279510;24287565;24330780;24330828;24338057;24345425;24358127;24361963;24375250;24385500;24474183;24497408;24519663;24529697;24556741;24589598;24598119;24604230;24619225;24650689;24658854;24696273;24705038;24705396;24718706;24792712;24794433;24805774;24811707;24825585;24861879;24865424;24875359;24878960;24909917;24913567;24954504;24966937;24969691;24971902;24995397;25029852;25036385;25051157;25085587;25086740;25098939;25111387;25112530;25115393;25131617;25169484;25175832;25186652;25200130;25218344;25222038;25281766;25286864;25287131;25306109;25348135;25348738;25354783;25374357;25400731;25405852;25411246;25423178;25424317;25430972;25450715;25482564;25531908;25539811;25550787;25559917;25576220;25596157;25598229;25605008;25612291;25664118;25667613;25721733;25731732;25753094;25800741;25817229;25818238;25841663;25861751;25906260;25915824;25924779;25928665;25928721;25973090;26002553;26041995;26071557;26109806;26144048;26159098;26242259;26248089;26259653;26269187;26302069;26339601;26343523;26415857;26473640;26592243;26707908;26746014;26819412;26905370;26935152;26951965;26969602;26972529;26993295;
MI0000444	hsa-mir-124-2	245	15685193;16549876;16699595;17403776;17679093;18042700;18188765;18461144;18577219;18577221;18607543;18619591;19036124;19427019;19536157;19561591;19703567;19843643;19883498;19901979;19944075;19956752;20308325;20523124;20534531;20579385;20726790;20795863;20930122;21062284;21112327;21131957;21221133;21294859;21307844;21318219;21544199;21551949;21672940;21695170;21753754;21802386;21813326;21818300;21917081;21957233;22024478;22085528;22153071;22178324;22253443;22333974;22336710;22343717;22430032;22441842;22450659;22471922;22541098;22558405;22588079;22653784;22696253;22701651;22819820;22828925;22846781;22885837;22895557;22918790;22929615;22940133;23069658;23077310;23109423;23135476;23161775;23172372;23176198;23250910;23303397;23313552;23315173;23321515;23332465;23334332;23345203;23374323;23382622;23382970;23451109;23548312;23553027;23595422;23624869;23636127;23680813;23691514;23754622;23761023;23785148;23792158;23816858;23817964;23853098;23860031;23864708;23867221;23936026;23940556;23946534;23979021;24018376;24035011;24122720;24135052;24166354;24180482;24184980;24211205;24223605;24257299;24279510;24287565;24330780;24330828;24338057;24345425;24358127;24361963;24375250;24385500;24474183;24497408;24519663;24529697;24556741;24589598;24598119;24604230;24619225;24650689;24658854;24696273;24705038;24705396;24718706;24792712;24794433;24805774;24811707;24825585;24861879;24865424;24875359;24878960;24909917;24913567;24954504;24966937;24969691;24971902;24995397;25029852;25036385;25051157;25085587;25086740;25098939;25111387;25112530;25115393;25131617;25169484;25175832;25186652;25200130;25218344;25222038;25281766;25286864;25287131;25306109;25348135;25348738;25354783;25374357;25400731;25405852;25411246;25423178;25424317;25430972;25450715;25482564;25531908;25539811;25550787;25559917;25576220;25596157;25598229;25605008;25612291;25664118;25667613;25721733;25731732;25753094;25800741;25817229;25818238;25841663;25861751;25906260;25915824;25924779;25928665;25928721;25973090;26002553;26041995;26071557;26109806;26144048;26159098;26242259;26248089;26259653;26269187;26302069;26339601;26343523;26415857;26473640;26592243;26707908;26746014;26819412;26905370;26935152;26951965;26969602;26972529;26993295;
MI0000445	hsa-mir-124-3	246	15685193;16549876;16699595;17403776;17679093;18042700;18188765;18461144;18577219;18577221;18607543;18619591;19036124;19427019;19536157;19561591;19703567;19843643;19883498;19901979;19944075;19956752;20308325;20523124;20534531;20579385;20726790;20795863;20930122;21062284;21112327;21131957;21221133;21294859;21307844;21318219;21544199;21551949;21672940;21695170;21753754;21802386;21813326;21818300;21917081;21957233;22024478;22085528;22153071;22178324;22253443;22333974;22336710;22343717;22430032;22441842;22450659;22471922;22541098;22558405;22588079;22653784;22696253;22701651;22819820;22828925;22846781;22885837;22895557;22918790;22929615;22940133;23069658;23077310;23109423;23135476;23161775;23172372;23176198;23250910;23303397;23313552;23315173;23321515;23332465;23334332;23345203;23374323;23382622;23382970;23451109;23548312;23553027;23595422;23624869;23636127;23680813;23691514;23754622;23761023;23785148;23792158;23816858;23817964;23853098;23860031;23864708;23867221;23936026;23940556;23946534;23979021;24018376;24035011;24122720;24135052;24166354;24180482;24184980;24211205;24223605;24257299;24279510;24287565;24330780;24330828;24338057;24345425;24358127;24361963;24375250;24385500;24474183;24497408;24519663;24529697;24556741;24589598;24598119;24604230;24619225;24650689;24658854;24696273;24705038;24705396;24718706;24792712;24794433;24805774;24811707;24825585;24825593;24861879;24865424;24875359;24878960;24909917;24913567;24954504;24966937;24969691;24971902;24995397;25029852;25036385;25051157;25085587;25086740;25098939;25111387;25112530;25115393;25131617;25169484;25175832;25186652;25200130;25218344;25222038;25281766;25286864;25287131;25306109;25348135;25348738;25354783;25374357;25400731;25405852;25411246;25423178;25424317;25430972;25450715;25482564;25531908;25539811;25550787;25559917;25576220;25596157;25598229;25605008;25612291;25664118;25667613;25721733;25731732;25753094;25800741;25817229;25818238;25841663;25861751;25906260;25915824;25924779;25928665;25928721;25973090;26002553;26041995;26071557;26109806;26144048;26159098;26242259;26248089;26259653;26269187;26302069;26339601;26343523;26415857;26473640;26592243;26707908;26746014;26819412;26905370;26935152;26951965;26969602;26972529;26993295;
MI0000446	hsa-mir-125b-1	349	16103053;16151463;16227573;17110380;17563749;17622355;17674361;17891175;17906637;17911593;18056640;18387358;18419608;18523997;18649363;18674748;18756266;18853072;18936236;19047678;19293287;19396866;19406203;19414119;19437538;19471102;19570947;19635812;19738052;19818772;19821055;19825990;19890372;19897480;19906911;19921579;19948152;20153427;20194440;20306291;20347935;20351193;20460378;20467450;20484156;20485370;20544842;20549700;20658525;20660734;20699419;20729973;20736742;20827223;20827722;20886540;20890304;20935678;20978686;21035401;21037022;21081842;21118985;21118986;21166724;21174058;21212412;21242186;21308711;21347262;21373745;21375733;21399871;21412257;21444677;21460750;21556765;21611196;21626108;21703189;21706005;21713760;21738213;21765920;21785383;21806957;21823019;21829477;21862684;21879257;21880154;21887328;21903586;21913998;21935352;21945074;21967250;21969554;21970405;22003200;22006248;22024720;22048026;22071331;22093834;22099153;22138609;22139839;22164278;22213330;22252650;22277001;22277129;22293115;22302353;22307404;22331826;22335948;22357933;22360855;22366319;22376254;22391569;22415301;22456625;22460089;22469780;22504525;22512273;22523546;22527633;22550173;22630336;22664907;22689670;22693547;22711523;22723551;22763947;22782903;22797068;22806310;22824797;22843432;22846613;22854965;22892455;22898264;22942733;22944560;22983388;22990976;22991213;22999819;23052036;23079745;23091610;23099851;23116342;23128435;23146892;23160634;23251514;23255607;23305626;23321005;23322811;23383059;23406982;23416980;23425975;23437196;23503464;23503652;23515929;23519125;23527072;23527180;23550643;23556099;23583196;23585871;23591197;23606360;23618359;23645233;23667577;23717629;23718732;23742626;23747919;23759586;23800395;23801117;23835866;23857508;23879331;23915977;23928699;23940818;23977359;24036939;24046143;24071828;24098452;24118912;24137477;24151623;24158385;24165569;24169356;24176857;24197449;24263100;24306957;24339876;24341525;24352645;24356103;24369155;24386864;24396870;24402874;24434277;24443232;24447930;24479808;24503111;24517182;24521639;24604278;24604579;24627568;24635082;24637254;24643683;24688313;24690917;24746948;24753184;24762088;24774301;24778468;24805183;24811246;24817689;24819167;24846940;24865963;24878024;24901050;24915827;24976530;25001178;25004393;25006123;25014919;25024331;25047833;25050621;25126724;25155155;25173609;25175072;25218681;25251470;25255814;25312242;25316507;25323587;25364765;25388283;25403182;25405754;25416859;25424744;25452043;25456297;25468475;25524325;25533034;25539763;25571789;25573191;25589070;25597828;25605244;25620312;25633049;25653157;25668010;25738314;25772251;25789078;25791433;25815883;25826415;25831081;25858373;25889022;25893930;25894378;25915540;25944662;25953743;25955758;25968989;25987254;25990459;26035832;26056355;26057745;26059631;26078267;26081223;26083874;26138442;26175938;26203686;26248331;26261492;26335100;26354435;26365191;26370741;26388699;26421388;26432296;26435691;26454169;26480000;26544868;26559308;26573286;26585673;26596831;26686386;26687742;26693202;26704017;26722596;26729468;26731991;26744308;26770454;26807182;26962113;26968260;26981379;
MI0000447	hsa-mir-128-1	87	18056805;18381601;18810376;19010882;19159078;19713529;19809479;19941032;19955085;20054641;20924637;21143953;21228036;21358821;21372826;21561454;21596314;21874051;21953503;22088562;22193543;22258150;22442669;22512273;22614013;22853714;22909061;22922228;23019226;23174013;23201752;23482671;23492773;23526655;23567619;23610405;23733246;23835497;23958464;23990020;24046120;24064186;24132591;24307102;24311694;24316133;24415783;24440526;24448358;24485087;24515752;24555688;24682535;24718706;24846063;24859886;24895337;24895527;24903149;24959930;24980887;25001183;25017996;25189575;25246803;25248111;25426267;25430972;25642945;25704921;25742789;25749934;25764126;25785017;25916109;25921099;25962360;26307612;26339409;26367248;26460960;26501192;26550456;26700675;26722309;26773046;26828754;
MI0000448	hsa-mir-130a	86	17855557;17957028;20417623;20443815;20625274;21067317;21084719;21098294;21135128;21195052;21293178;21486751;21706050;21712254;21941297;22028478;22323518;22334710;22348345;22350415;22391564;22455133;22523595;22525256;22614869;22773832;22787204;22846564;22847613;22884882;23136161;23393589;23471483;23528537;23680357;23717609;24136779;24145606;24148619;24223694;24241494;24383925;24385111;24398327;24439061;24490491;24606471;24677715;24750349;24787017;24801815;24819345;24885472;24953832;24960162;25002578;25028931;25093848;25218269;25505270;25510697;25544755;25595716;25607660;25664140;25681685;25755726;25823215;25834316;25890369;25973054;25999017;26043084;26045761;26060358;26264599;26272168;26385312;26416483;26421388;26435691;26454169;26608132;26667495;26669941;26895224;
MI0000449	hsa-mir-132	145	16885212;17002790;17553428;18075311;18577589;19356622;19768731;19819989;20005135;20300990;20418869;20470394;20675101;20676106;20949564;21059906;21118894;21128228;21136867;21141085;21329664;21367929;21423013;21611182;21665894;21723895;21753737;21813326;21822296;21853268;21868695;21887347;22026534;22062950;22077060;22275910;22310291;22315408;22362752;22376254;22431733;22659469;22720189;22844515;22845676;22895706;22929615;23063653;23252865;23264652;23315173;23357732;23376496;23403535;23451983;23485811;23542579;23554893;23560086;23585551;23598815;23704927;23712358;23729812;23748239;23780851;23801049;24014289;24084735;24142285;24158730;24221087;24252274;24345425;24449507;24466377;24553459;24556727;24600049;24607832;24621117;24626466;24657774;24661879;24713319;24714527;24727883;24743967;24759212;24841251;24876859;24914372;24924687;24981235;25004396;25008044;25016614;25108103;25122196;25136908;25234714;25252958;25269776;25305447;25392085;25435090;25450365;25483038;25550921;25607827;25617893;25635942;25645730;25676267;25708817;25766675;25793259;25801898;25864118;25885346;25896120;25925428;25929520;25945589;25983322;25988335;26003847;26065857;26096363;26121747;26218441;26252738;26352673;26362250;26421388;26454169;26475020;26543603;26604788;26707937;26711614;26843422;26878986;26898440;26921097;
MI0000450	hsa-mir-133a-1	199	16731620;17210790;17237814;17401374;17443681;17468766;17516552;17675362;17715156;18371447;18375574;18464261;18711016;18827171;19056878;19059107;19149547;19273302;19396161;19497108;19644046;19720047;19720801;19758457;19843336;20037573;20054351;20160723;20163779;20368543;20415550;20466878;20468068;20502458;20520763;20619221;20724368;20842122;20953121;20974915;21108928;21109942;21303526;21351259;21396852;21425469;21586423;21615921;21645416;21701775;21737882;21745735;21750272;21817153;21881276;21960721;21998125;22000014;22010139;22050602;22068816;22089643;22163007;22195016;22266319;22292984;22308266;22310912;22378351;22378464;22407299;22452920;22506038;22641236;22713968;22735742;22766685;22877943;22911796;23069713;23102905;23137501;23143398;23150891;23154637;23166348;23180826;23183523;23196844;23206218;23284745;23339192;23347612;23410519;23430405;23487791;23493574;23497314;23522383;23553538;23597742;23711953;23723074;23747779;23756231;23783274;23786162;23816326;23948643;23968734;23969999;23988448;23990889;24053180;24058688;24127040;24157646;24190542;24196787;24284405;24304191;24336652;24371146;24371264;24391788;24413579;24464560;24475095;24478708;24479666;24506564;24535468;24568203;24613927;24715690;24718700;24719334;24757153;24809446;24816813;24820117;24885383;24920580;24944666;24975488;25051376;25104873;25111390;25125495;25132116;25146754;25150707;25152372;25170220;25198665;25231354;25242288;25280517;25310838;25313674;25317675;25339771;25421410;25445891;25451078;25469788;25518741;25607810;25620172;25625292;25740337;25763715;25780292;25815687;25868726;25871823;25903369;25955017;25960234;25995211;26013661;26064437;26076812;26113018;26153023;26173501;26214431;26276722;26348824;26361355;26371176;26379863;26396670;26656045;26790441;26845446;26856387;26891613;26936647;
MI0000451	hsa-mir-133a-2	197	16731620;17210790;17237814;17401374;17443681;17468766;17516552;17675362;17715156;18371447;18375574;18464261;18711016;18827171;19056878;19059107;19149547;19273302;19396161;19497108;19644046;19720047;19720801;19758457;19843336;20037573;20054351;20160723;20163779;20368543;20415550;20466878;20468068;20502458;20520763;20619221;20724368;20842122;20953121;20974915;21108928;21109942;21303526;21351259;21396852;21425469;21586423;21615921;21645416;21701775;21737882;21745735;21750272;21817153;21881276;21960721;21998125;22000014;22010139;22050602;22068816;22089643;22163007;22195016;22266319;22292984;22308266;22310912;22378351;22378464;22407299;22452920;22506038;22641236;22735742;22766685;22877943;22911796;23069713;23102905;23137501;23143398;23150891;23154637;23166348;23180826;23183523;23196844;23206218;23284745;23339192;23347612;23410519;23430405;23487791;23493574;23497314;23522383;23553538;23597742;23711953;23723074;23747779;23756231;23783274;23786162;23816326;23948643;23968734;23969999;23988448;23990889;24053180;24058688;24127040;24157646;24190542;24196787;24284405;24304191;24336652;24371146;24371264;24391788;24413579;24464560;24475095;24478708;24479666;24506564;24535468;24568203;24613927;24715690;24718700;24719334;24757153;24809446;24816813;24820117;24885383;24920580;24944666;24975488;25051376;25104873;25111390;25125495;25132116;25146754;25150707;25152372;25170220;25198665;25231354;25242288;25280517;25310838;25313674;25317675;25339771;25421410;25445891;25451078;25469788;25518741;25607810;25620172;25625292;25740337;25763715;25780292;25815687;25868726;25871823;25903369;25955017;25995211;26013661;26064437;26076812;26113018;26153023;26173501;26214431;26276722;26348824;26361355;26371176;26379863;26396670;26656045;26790441;26845446;26856387;26891613;26936647;
MI0000452	hsa-mir-135a-1	63	17045424;18632633;18831788;19666866;19944075;20194722;20955366;20959518;21063788;21185128;21192341;21552288;21888875;21956427;22132158;22139076;22310976;22439757;22661558;22664914;23017832;23055106;23176581;23328512;23438844;23579070;23594704;23640248;23715500;23974872;24016480;24072101;24465504;24503442;24607788;24710937;24800242;24903309;24908566;24952960;24976530;25013381;25015549;25065599;25142144;25152461;25190111;25230140;25269776;25322930;25381598;25460182;25496852;25554493;25634212;25639612;25888950;25911397;26235874;26261511;26289417;26351742;26856387;
MI0000453	hsa-mir-135a-2	61	17045424;18632633;18831788;19666866;19944075;20194722;20955366;20959518;21063788;21185128;21192341;21552288;21888875;21956427;22132158;22139076;22310976;22439757;22661558;22664914;22747683;23017832;23055106;23176581;23328512;23438844;23579070;23640248;23715500;24016480;24072101;24348261;24465504;24503442;24607788;24710937;24800242;24903309;24908566;24952960;24976530;25013381;25015549;25065599;25142144;25152461;25230140;25269776;25322930;25381598;25460182;25554493;25634212;25639612;25888950;25911397;26235874;26261511;26289417;26351742;26856387;
MI0000454	hsa-mir-137	125	18316599;18381414;18577219;18577221;19521961;19659786;20197299;20219352;20415550;20439489;20473940;20600988;20682795;21051724;21221794;21278922;21425146;21725593;21926974;21994399;22003227;22155483;22182936;22406049;22446413;22723937;22733126;22850735;22883350;22895557;22982201;23121285;23129290;23145961;23151846;23154637;23178712;23178914;23190615;23201162;23252729;23275153;23400681;23453885;23459466;23526568;23640964;23683160;23714687;23786914;23904455;23910899;23934188;23965969;23974872;24001901;24046283;24132022;24144591;24210531;24243432;24275578;24361663;24412084;24500708;24556472;24566148;24573672;24625753;24662459;24677349;24820543;24866554;24888363;24927112;24970808;24984191;25027394;25044277;25056061;25064845;25084801;25132116;25154622;25217366;25241074;25250332;25310349;25330156;25342326;25434007;25498886;25505154;25550779;25643297;25724519;25739100;25921703;25939439;25940441;25955305;25955714;26005852;26066330;26095359;26102366;26108719;26123324;26163462;26187071;26215676;26302771;26352279;26361355;26424515;26566162;26609515;26617798;26621457;26695142;26840256;26843422;26847706;26904954;26989074;
MI0000455	hsa-mir-138-2	100	16738409;17889796;18201269;19465924;19540661;19597153;19888451;19896708;20232393;20332227;20486779;21079996;21444814;21645449;21693595;21770894;21787234;21875287;21969367;22006248;22228303;22469988;22739938;22766839;22853952;22921398;22926558;22954303;23007504;23012319;23208504;23300839;23319823;23343715;23373509;23389731;23438844;23445815;23446346;23446431;23550052;23562653;23680813;23691088;23707559;24009496;24040069;24057215;24171926;24204780;24211202;24244340;24337369;24405893;24406044;24411711;24486907;24565984;24582749;24626163;24691972;24721573;24747032;24758914;24788726;24792185;24911418;24914240;24941171;25008044;25064732;25071529;25116803;25190487;25336585;25339353;25432860;25439221;25510697;25670628;25680531;25699650;25752881;25818871;25875420;25912229;25962180;25994569;26045321;26084420;26151666;26239136;26267680;26283050;26359943;26507454;26621457;26658052;26823826;26887050;
MI0000456	hsa-mir-140	77	16828749;18845019;19147957;19381257;19714579;19734943;19846888;19948051;19950226;20358594;20516192;20528768;20676061;21063788;21406206;21720209;21798241;21872590;22012839;22052544;22087245;22102413;22143896;22273691;22402365;22445758;22452920;22470160;22473090;22547066;22549189;22773691;22898998;23060440;23281373;23291479;23401231;23428685;23529404;23681013;23752191;23754477;23912551;23942573;24014021;24039995;24063364;24257415;24297178;24349493;24530397;24637658;24875904;24928442;24971538;25127724;25182759;25197358;25322669;25538945;25567303;25594684;25598697;25783182;25978641;26150353;26219893;26297547;26300493;26318829;26497608;26704053;26716134;26787707;26882564;26998837;27035554;
MI0000457	hsa-mir-141	194	18218722;18376396;18381893;18483486;18663219;18698484;18925646;19228262;19363643;19454767;19502803;19830559;19861690;19901913;20014922;20053927;20084174;20473869;20514023;20576608;20619223;20682048;20945501;20952520;20967756;21035172;21047409;21051560;21108928;21112562;21224847;21238947;21274675;21289630;21345070;21390040;21398193;21445232;21516486;21527937;21723797;21827717;21867514;21873780;21897839;22052531;22101765;22240788;22314666;22336757;22356767;22384255;22431721;22479552;22537031;22721760;22735571;22795796;22806986;22921431;22969748;23045278;23206420;23288923;23329838;23372687;23377530;23410973;23472073;23550052;23554918;23559187;23596351;23635949;23663545;23846169;23935962;23950995;23958557;23975430;23978303;24000293;24013097;24037528;24067373;24091627;24101728;24115205;24119697;24122292;24129247;24135722;24143167;24155113;24163379;24189529;24193225;24195082;24195675;24213537;24242138;24245745;24276755;24285464;24288670;24307282;24331998;24334875;24363810;24405714;24424572;24510588;24510997;24551096;24587192;24614340;24616104;24628843;24647573;24732377;24742567;24796549;24810210;24937190;24945731;24966949;24992595;25003366;25004804;25008569;25017828;25069861;25116353;25142234;25158299;25175076;25229553;25241899;25252191;25261470;25270520;25283845;25304156;25347847;25349304;25369729;25370776;25371200;25386850;25421593;25425543;25492390;25502084;25505268;25521481;25633292;25636451;25703910;25738863;25746592;25757925;25789530;25813250;25872328;25884322;25885099;25889350;25896253;25921227;25938433;25974855;25975736;26025631;26062412;26065649;26160158;26179333;26201425;26202143;26206343;26217396;26233544;26439017;26504501;26548909;26556949;26609108;26672991;26681225;26724531;26770063;26801823;26828359;26936280;
MI0000458	hsa-mir-142	148	16369484;17624268;17972953;18647411;19206004;19228723;19289845;19618089;19941823;20178649;20460641;20484156;20546738;20676373;20815262;20856265;21037424;21157891;21176377;21244243;21343377;21347785;21394831;21482222;21574043;21678057;21794090;21799909;21882196;21883400;21949733;21970718;21979877;22026534;22100165;22241991;22260163;22282590;22367717;22367739;22445295;22493297;22549634;22570537;22594804;22642222;22675569;22767248;22778433;22849433;22870299;22915806;22958478;22970014;23127182;23201162;23209550;23229013;23236440;23252865;23254460;23322811;23342264;23410519;23410826;23427817;23449404;23577151;23581416;23602969;23613882;23619912;23635652;23650616;23658149;23752207;23755214;23760605;23786772;23843459;23859509;23939156;23986579;24057258;24151623;24165894;24227773;24236112;24244526;24332177;24338464;24352241;24361879;24401604;24555497;24558198;24568203;24633190;24633319;24724784;24743945;24803022;24816458;24850728;24858343;24859754;24895601;24928439;24974128;25015418;25034529;25040542;25073105;25147232;25189322;25238203;25238588;25241894;25292173;25399392;25406066;25486582;25490969;25491743;25505059;25530132;25544846;25545919;25586666;25601927;25710008;25717061;25744846;25754227;25907832;25944670;25976503;25990241;26057452;26090578;26137849;26273428;26293610;26456535;26632150;26720440;26966699;27010210;
MI0000459	hsa-mir-143	291	15504739;16969504;17504027;17553685;17892514;18158990;18196926;18220229;19062714;19137007;19157460;19188425;19190970;19242066;19284987;19439999;19464056;19472311;19626115;19638978;19664984;19670426;19671871;19690389;19720868;19816508;19843160;19843336;19855844;20094072;20353999;20363096;20382746;20489207;20525177;20620599;20809117;20824140;20841497;20878132;20953119;21075073;21102562;21159816;21197560;21211035;21218087;21251577;21276449;21346145;21400514;21400525;21427707;21453382;21506120;21518477;21550168;21551242;21557394;21567082;21622730;21640157;21647377;21653642;21673106;21685392;21693658;21701675;21706045;21711110;21712382;21739196;21790228;21874264;21901135;21915288;21943005;22087245;22093444;22108519;22123823;22160209;22174642;22194833;22260523;22260700;22273643;22327366;22330136;22350415;22354042;22362069;22373869;22426337;22457808;22469988;22474228;22490015;22505520;22533346;22534459;22549179;22576798;22593586;22691140;22698405;22715469;22751122;22804917;22820191;22836856;22876303;22897626;22929553;22948942;22997891;23029228;23070684;23092342;23094093;23097559;23104321;23128394;23164426;23247565;23251295;23276710;23297865;23321517;23339192;23376635;23383988;23390502;23396454;23397547;23430952;23476055;23542579;23574723;23611811;23628392;23629002;23644125;23661430;23732700;23748240;23791869;23804075;23811549;23812417;23866094;23895853;23904792;23932921;23965966;23973710;23980205;23999936;24006894;24009686;24033605;24062129;24065523;24070896;24071015;24096612;24103175;24105952;24166492;24218337;24252274;24283360;24284362;24284405;24286416;24292881;24333576;24364819;24375455;24464560;24474452;24509687;24516357;24517947;24525123;24577510;24614340;24616567;24626955;24649051;24659424;24690978;24722758;24742567;24746948;24752771;24762226;24763824;24774218;24854570;24855947;24875473;24890811;24909097;24912849;24927876;24940606;24970281;24974841;24980823;24993656;25003638;25008143;25010252;25012546;25017088;25030863;25087597;25130212;25172909;25175415;25227664;25238588;25265569;25270212;25322940;25323858;25408705;25427155;25474488;25477374;25485872;25486623;25487418;25491368;25492481;25509360;25527813;25529447;25562163;25573853;25576341;25584614;25596532;25599923;25616133;25637573;25655189;25656032;25701793;25710930;25766280;25776476;25787821;25801897;25803872;25804644;25826081;25826780;25862841;25944670;25953639;25958013;25961039;25976472;26025964;26026080;26078483;26125902;26153983;26164754;26252302;26266366;26269764;26311719;26348397;26349981;26351742;26427659;26484567;26504045;26541455;26586766;26625772;26721309;26726024;26762731;26824186;26854447;26905370;26918470;
MI0000460	hsa-mir-144	82	18303114;20451302;20656931;20708014;20709907;21128228;21285251;21367459;21453382;21626108;21863218;21929751;22049245;22113880;22484483;22642222;22842456;22955854;22964481;22983984;23125220;23180826;23226399;23236440;23285103;23519695;23519696;23546882;23584289;23743223;23815091;24066116;24195082;24369245;24375455;24448023;24453045;24460313;24625073;24626475;24642088;24688313;24733347;24784704;24968735;25060662;25073510;25080349;25151965;25241289;25312678;25318625;25370363;25465851;25479763;25534427;25552250;25652854;25660220;25705687;25814384;25854173;25907866;25912304;25916957;25919186;25927670;25961751;25979625;26057453;26081423;26097586;26124344;26250785;26273428;26349975;26395400;26573221;26595608;26614264;26687302;26950457;
